Date,AEX
2009-03,10000
2009-04,11202.029812766743
2009-05,12931.780405054153
2009-06,12728.125335012848
2009-07,14171.580265385088
2009-08,15045.730931494705
2009-09,16222.54216965437
2009-10,15928.379339348521
2009-11,16425.3664742432
2009-12,17266.16379127412
2010-01,16367.446603997707
2010-02,15468.086342188246
2010-03,16689.814130730512
2010-04,16703.94436119371
2010-05,14418.918599698363
2010-06,14202.08229173679
2010-07,15761.64380359722
2010-08,14758.181744838766
2010-09,16784.210898236135
2010-10,17190.662455576494
2010-11,15713.715695969422
2010-12,17493.951276857777
2011-01,18238.08930055052
2011-02,18927.88801700909
2011-03,19253.86017080203
2011-04,20050.451296045503
2011-05,18983.222207374783
2011-06,18538.639598431397
2011-07,17754.840066953664
2011-08,16100.713007228434
2011-09,14390.394704562714
2011-10,16381.179712695524
2011-11,15365.5246154923
2011-12,15449.816922102433
2012-01,16034.658535737826
2012-02,16723.443588424492
2012-03,16577.23149605721
2012-04,15813.469738582378
2012-05,14146.805915717523
2012-06,15212.474175825526
2012-07,15779.017267322073
2012-08,16433.894747159116
2012-09,16537.51490224326
2012-10,17012.908025074743
2012-11,17367.227137562833
2012-12,17968.04589379906
2013-01,19079.370930021585
2013-02,17819.447461953947
2013-03,17765.84132147157
2013-04,18439.71282786971
2013-05,19184.721487982428
2013-06,18296.545624414517
2013-07,19928.943006851146
2013-08,19589.762981562613
2013-09,20649.900393604115
2013-10,21809.740226759735
2013-11,22083.21992771397
2013-12,22670.69718264064
2014-01,21392.532140648054
2014-02,22588.818758522815
2014-03,22812.456011294096
2014-04,22870.650994102463
2014-05,23108.35117883929
2014-06,23532.896244748452
2014-07,22559.49334434315
2014-08,22840.3522346202
2014-09,22214.868853272517
2014-10,21604.311476086274
2014-11,22371.50988865243
2014-12,21687.610732878737
2015-01,21433.05829410302
2015-02,22970.99706717132
2015-03,22261.334654912996
2015-04,23266.197553120168
2015-05,23190.722331318353
2015-06,22653.079224137884
2015-07,23300.741516846818
2015-08,21568.570719299627
2015-09,20397.917539078662
2015-10,22042.440632591326
2015-11,21559.648009629178
2015-12,20878.35816471783
2016-01,20442.252120578265
2016-02,20274.05507279446
2016-03,21862.971909277956
2016-04,22094.903449261947
2016-05,22186.285238298875
2016-06,21508.14815910633
2016-07,22251.839778092686
2016-08,22709.783794958297
2016-09,22666.314797438918
2016-10,22272.8192113831
2016-11,21922.47976134099
2016-12,22962.46688876384
2017-01,23115.18518104058
2017-02,23755.092599441465
2017-03,25017.41782414597
2017-04,25950.94379517033
2017-05,27047.461934889958
2017-06,26643.47209942869
2017-07,28403.24635307103
2017-08,28339.32012799961
2017-09,29446.376603270503
2017-10,29917.25356673088
2017-11,29830.551332966996
2017-12,30442.726674591897
2018-01,32546.623769778562
2018-02,30593.94974784515
2018-03,30558.892196398814
2018-04,31710.01824548596
2018-05,30784.378569945668
2018-06,30642.66626704467
2018-07,32117.117193586473
2018-08,31233.109376290002
2018-09,30548.116612711812
2018-10,28192.452315564326
2018-11,28436.253783252458
2018-12,26925.57602634771
2019-01,28828.84480936418
2019-02,29874.41078303127
2019-03,29887.790278687844
2019-04,31345.18809505687
2019-05,29706.504495938065
2019-06,31509.70543652566
2019-07,31500.845232752854
2019-08,30674.627163724657
2019-09,31457.529526255876
2019-10,32061.598184974242
2019-11,32790.41920341006
2019-12,33951.676895518634
2020-01,32568.984251389353
2020-02,29681.103730353127
2020-03,26592.474389240582
2020-04,28152.469559223657
2020-05,30017.952848645797
2020-06,31766.977747981284
2020-07,32773.381077330065
2020-08,33435.15471881303
2020-09,32703.353915760345
2020-10,31891.709811326426
2020-11,37135.278664687874
2020-12,39203.76983548876
2021-01,39548.55821326975
2021-02,40476.726894751235
2021-03,42086.53271141785
2021-04,43970.90954159197
2021-05,44769.636809496194
2021-06,44866.33328879103
2021-07,46426.652276856286
2021-08,48455.987977803314
2021-09,46479.83076440157
2021-10,49230.48722356934
2021-11,46178.68176684431
2021-12,47243.915387212815
2022-01,44043.141934327316
2022-02,42833.58890883342
2022-03,42152.36553959382
2022-04,39492.06136990132
2022-05,40540.49965557374
2022-06,36355.98124679871
2022-07,39504.34379322327
2022-08,36348.262143764165
2022-09,33370.912860611825
2022-10,35540.92211171565
2022-11,40292.12629288615
2022-12,39411.10918791195
2023-01,43291.83330046072
2023-02,43007.02266607627
2023-03,44251.51758545255
2023-04,45087.53582858264
2023-05,43517.284956528645
2023-06,45787.53992481209
2023-07,47558.517573869474
2023-08,44348.855998872605
2023-09,42377.09302225272
2023-10,41897.042372785545
2023-11,46082.899360515876
2023-12,47910.44935082732
