Date,Gold spot price
1978-12,10000
1979-01,10340.70796460177
1979-02,11119.469026548673
1979-03,10623.893805309735
1979-04,10853.982300884958
1979-05,12150.442477876106
1979-06,12278.761061946903
1979-07,13117.256637168142
1979-08,13942.477876106195
1979-09,17577.433628318588
1979-10,16902.65486725664
1979-11,18391.59292035398
1979-12,23185.840707964602
1980-01,28893.805309734515
1980-02,28185.840707964602
1980-03,21880.530973451332
1980-04,22920.353982300883
1980-05,23694.690265486726
1980-06,28915.929203539825
1980-07,27179.203539823007
1980-08,27931.41592920354
1980-09,29502.21238938053
1980-10,27831.858407079646
1980-11,27422.566371681416
1980-12,26084.070796460175
1981-01,22411.504424778763
1981-02,21637.16814159292
1981-03,22732.300884955752
1981-04,21360.619469026547
1981-05,21205.75221238938
1981-06,18849.557522123894
1981-07,17964.601769911504
1981-08,18805.309734513274
1981-09,18971.2389380531
1981-10,18893.805309734515
1981-11,18340.70796460177
1981-12,17699.115044247785
1982-01,17123.893805309734
1982-02,16044.247787610619
1982-03,14159.29203539823
1982-04,15984.513274336283
1982-05,14391.592920353982
1982-06,14048.67256637168
1982-07,15172.566371681416
1982-08,18207.964601769912
1982-09,17566.37168141593
1982-10,18727.87610619469
1982-11,19292.035398230088
1982-12,19823.008849557522
1983-01,22101.76991150443
1983-02,18075.221238938055
1983-03,18351.769911504423
1983-04,18993.36283185841
1983-05,19358.40707964602
1983-06,18407.0796460177
1983-07,18672.566371681416
1983-08,18329.646017699117
1983-09,17920.353982300883
1983-10,16902.65486725664
1983-11,17920.353982300883
1983-12,16880.53097345133
1984-01,16537.610619469026
1984-02,17444.690265486726
1984-03,17190.265486725664
1984-04,16628.318584070796
1984-05,17002.21238938053
1984-06,16506.63716814159
1984-07,15148.230088495575
1984-08,15409.29203539823
1984-09,15210.176991150442
1984-10,14756.637168141593
1984-11,14557.522123893805
1984-12,13641.592920353982
1985-01,13568.58407079646
1985-02,12732.300884955752
1985-03,14568.58407079646
1985-04,14219.026548672566
1985-05,13893.805309734513
1985-06,14059.734513274336
1985-07,14491.150442477876
1985-08,14745.575221238938
1985-09,14413.716814159292
1985-10,14384.955752212389
1985-11,14393.805309734513
1985-12,14469.026548672566
1986-01,15508.849557522124
1986-02,14962.389380530973
1986-03,15221.238938053097
1986-04,15298.67256637168
1986-05,15185.840707964602
1986-06,15342.920353982301
1986-07,15818.58407079646
1986-08,17022.12389380531
1986-09,18725.66371681416
1986-10,17743.36283185841
1986-11,17234.513274336285
1986-12,17296.46017699115
1987-01,17721.2389380531
1987-02,17957.964601769912
1987-03,18628.318584070796
1987-04,20055.309734513277
1987-05,19955.75221238938
1987-06,19792.035398230088
1987-07,20464.601769911504
1987-08,20061.94690265487
1987-09,20331.858407079646
1987-10,20743.36283185841
1987-11,21792.035398230088
1987-12,21526.548672566372
1988-01,20265.486725663715
1988-02,18856.194690265485
1988-03,20219.026548672562
1988-04,19867.256637168142
1988-05,20154.867256637168
1988-06,19316.37168141593
1988-07,19327.433628318584
1988-08,18926.991150442478
1988-09,17553.097345132745
1988-10,18247.78761061947
