Date,Hang Seng
1987-01,2553.300048828125
1987-02,2877.89990234375
1987-03,2713.800048828125
1987-04,2659.89990234375
1987-05,2950.800048828125
1987-06,3178.199951171875
1987-07,3479.199951171875
1987-08,3611.699951171875
1987-09,3943.60009765625
1987-10,2204.5
1987-11,2138.39990234375
1987-12,2302.800048828125
1988-01,2409.699951171875
1988-02,2418.10009765625
1988-03,2544.0
1988-04,2602.89990234375
1988-05,2496.699951171875
1988-06,2671.5
1988-07,2678.89990234375
1988-08,2443.800048828125
1988-09,2441.0
1988-10,2627.39990234375
1988-11,2659.300048828125
1988-12,2687.39990234375
1989-01,3072.89990234375
1989-02,3012.699951171875
1989-03,3005.0
1989-04,3116.0
1989-05,2743.89990234375
1989-06,2273.89990234375
1989-07,2571.10009765625
1989-08,2508.60009765625
1989-09,2758.199951171875
1989-10,2725.300048828125
1989-11,2748.39990234375
1989-12,2836.60009765625
1990-01,2751.60009765625
1990-02,2952.0
1990-03,2997.0
1990-04,2951.0
1990-05,3132.0
1990-06,3278.0
1990-07,3438.0
1990-08,3087.0
1990-09,2760.0
1990-10,2990.0
1990-11,2965.0
1990-12,3024.0
1991-01,3243.0
1991-02,3552.0
1991-03,3745.0
1991-04,3588.0
1991-05,3707.0
1991-06,3668.0
1991-07,4009.0
1991-08,3998.0
1991-09,3956.699951171875
1991-10,4038.699951171875
1991-11,4149.7998046875
1991-12,4297.2998046875
1992-01,4601.7998046875
1992-02,4929.10009765625
1992-03,4938.2998046875
1992-04,5369.60009765625
1992-05,6080.2001953125
1992-06,6103.89990234375
1992-07,5881.10009765625
1992-08,5628.60009765625
1992-09,5505.39990234375
1992-10,6190.7001953125
1992-11,5810.60009765625
1992-12,5512.39990234375
1993-01,5751.39990234375
1993-02,6352.0
1993-03,6388.89990234375
1993-04,6830.5
1993-05,7372.2001953125
1993-06,7099.2998046875
1993-07,6989.0
1993-08,7549.7001953125
1993-09,7676.2001953125
1993-10,9329.099609375
1993-11,9125.2001953125
1993-12,11888.400390625
1994-01,11487.0
1994-02,10410.2001953125
1994-03,9029.900390625
1994-04,8966.099609375
1994-05,9553.599609375
1994-06,8758.400390625
1994-07,9482.7998046875
1994-08,9929.400390625
1994-09,9521.2001953125
1994-10,9646.2998046875
1994-11,8466.2998046875
1994-12,8191.0
1995-01,7342.7001953125
1995-02,8327.5
1995-03,8587.7001953125
1995-04,8361.0
1995-05,9407.400390625
1995-06,9206.5
1995-07,9453.400390625
1995-08,9179.900390625
1995-09,9646.2998046875
1995-10,9782.400390625
1995-11,9813.2998046875
1995-12,10073.400390625
1996-01,11359.7001953125
1996-02,11125.7001953125
1996-03,10957.2001953125
1996-04,10964.5
1996-05,11264.7001953125
1996-06,11020.900390625
1996-07,10681.400390625
1996-08,11159.0
1996-09,11902.400390625
1996-10,12477.599609375
1996-11,13393.900390625
1996-12,13451.5
1997-01,13321.7998046875
1997-02,13398.7001953125
1997-03,12534.2998046875
1997-04,12903.2998046875
1997-05,14757.7998046875
1997-06,15196.7998046875
1997-07,16365.7001953125
1997-08,14135.2001953125
1997-09,15049.2998046875
1997-10,10623.7998046875
1997-11,10526.900390625
1997-12,10722.7998046875
1998-01,9252.400390625
1998-02,11480.7001953125
1998-03,11518.7001953125
1998-04,10383.6796875
1998-05,8934.5595703125
1998-06,8543.099609375
1998-07,7936.2001953125
1998-08,7275.0400390625
1998-09,7883.4599609375
1998-10,10154.9404296875
1998-11,10402.3203125
1998-12,10048.580078125
1999-01,9506.900390625
1999-02,9858.490234375
1999-03,10942.2001953125
1999-04,13333.2001953125
1999-05,12147.1201171875
1999-06,13532.1396484375
1999-07,13186.8603515625
1999-08,13482.76953125
1999-09,12733.240234375
1999-10,13256.9501953125
1999-11,15377.1904296875
1999-12,16962.099609375
2000-01,15532.33984375
2000-02,17169.439453125
2000-03,17406.5390625
2000-04,15519.2998046875
2000-05,14713.8603515625
2000-06,16155.7802734375
2000-07,16840.98046875
2000-08,17097.509765625
2000-09,15648.98046875
2000-10,14895.33984375
2000-11,13984.3896484375
2000-12,15095.5302734375
2001-01,16102.349609375
2001-02,14787.8701171875
2001-03,12760.6396484375
2001-04,13386.0400390625
2001-05,13174.41015625
2001-06,13042.5302734375
2001-07,12316.6904296875
2001-08,11090.48046875
2001-09,9950.7001953125
2001-10,10073.9697265625
2001-11,11279.25
2001-12,11397.2099609375
2002-01,10725.2998046875
2002-02,10482.5498046875
2002-03,11032.919921875
