Date,JPX-Nikkei 400
2013-08,10000
2013-09,10846.985363578646
2013-10,10756.688030328749
2013-11,10924.564470572845
2013-12,11015.25704347485
2014-01,10606.492356877034
2014-02,10586.21234811802
2014-03,10360.191489745162
2014-04,10139.469214222028
2014-05,10574.3281959701
2014-06,11112.164913355391
2014-07,11203.036660164198
2014-08,10955.192260815851
2014-09,10789.541420874963
2014-10,10669.633638052574
2014-11,10643.805906584694
2014-12,10484.899967015339
2015-01,10706.371970550783
2015-02,11391.143302222277
2015-03,11569.758930584643
2015-04,12001.831429180922
2015-05,12065.871628503068
2015-06,11901.626140223023
2015-07,11919.00764192038
2015-08,11278.382494807573
2015-09,10471.407990063759
2015-10,11572.18718640562
2015-11,11526.88630779692
2015-12,11570.17553557457
2016-01,10649.57201838934
2016-02,10381.154916316747
2016-03,10898.164312123079
2016-04,11376.737309189226
2016-05,11292.72281780159
2016-06,11039.679956118169
2016-07,11590.890248539174
2016-08,11681.810062830848
2016-09,11878.088476184124
2016-10,12079.089807911065
2016-11,11822.711309847713
2016-12,11829.157254319738
2017-01,12239.326484803843
2017-02,12476.69900679985
2017-03,12398.777333630838
2017-04,12601.620687733603
2017-05,12927.031722636075
2017-06,13169.076363228216
2017-07,13363.822261669671
2017-08,13303.532206666072
2017-09,13594.312165027799
2017-10,14253.063659353862
2017-11,14621.096752001646
2017-12,14788.955387459495
2018-01,15463.340623390164
2018-02,15114.616624351498
2018-03,14889.468251462571
2018-04,14998.451584305642
2018-05,14821.200068399008
2018-06,14469.865493942349
2018-07,14543.20247873178
2018-08,14483.452764909462
2018-09,14958.131404199963
2018-10,13569.814114840638
2018-11,13681.367276404559
2018-12,12728.920022528142
2019-01,13538.662828350558
2019-02,13606.171177033866
2019-03,13639.007436095566
2019-04,13770.903071438821
2019-05,13191.703887916676
2019-06,13698.881572239312
2019-07,13693.385957238397
2019-08,13560.456233167119
2019-09,14157.20098937711
2019-10,14833.109704107117
2019-11,14906.311553436562
2019-12,15274.433083291535
2020-01,14944.674098093175
2020-02,13475.020813237708
2020-03,12622.645417495121
2020-04,13424.936060006958
2020-05,14320.620459773581
2020-06,14224.856695474697
2020-07,14034.559681004332
2020-08,15049.360065901872
2020-09,15194.969574077131
2020-10,14928.586867011498
2020-11,16834.62834294042
2020-12,17445.259468021304
2021-01,17250.138407910334
2021-02,17473.55358690016
2021-03,17631.620093778096
2021-04,17404.29831835773
2021-05,17587.824717680724
2021-06,17580.93812019963
2021-07,17276.602258810533
2021-08,17861.853648617944
2021-09,18272.964777749075
2021-10,17710.98576066387
2021-11,17259.17249178901
2021-12,17508.51920826619
2022-01,16582.69933558451
2022-02,16474.321741815133
2022-03,16310.953331777528
2022-04,14900.739237704787
2022-05,15226.944542943758
2022-06,13983.136741600156
2022-07,14796.613850077212
2022-08,14449.07860911477
2022-09,13033.212217951279
2022-10,13338.900830268001
2022-11,14742.25003730477
2022-12,14819.681718790272
2023-01,15660.700512957817
2023-02,15077.071595926736
2023-03,15715.959305789707
2023-04,15783.291628178642
2023-05,16056.973234228566
2023-06,16666.275373495228
2023-07,17180.83292951799
2023-08,16784.51554186346
2023-09,16400.86291801387
2023-10,15650.556000750386
2023-11,17026.392563367666
2023-12,17712.6207841396
