Date,MSCI AC Asia Pacific ex-Japan
1987-12,10000
1988-01,9964.3
1988-02,9957.1
1988-03,11094.5
1988-04,11671.8
1988-05,12433.400000000001
1988-06,12735.7
1988-07,13233.2
1988-08,12492.2
1988-09,12318.6
1988-10,13065
1988-11,12991.1
1988-12,13045.7
1989-01,14403.2
1989-02,13364.5
1989-03,13613.8
1989-04,14199.8
1989-05,13666
1989-06,13223.8
1989-07,14374
1989-08,14992.7
1989-09,15439.599999999999
1989-10,14974
1989-11,15140.6
1989-12,15841.999999999998
1990-01,15758.499999999998
1990-02,15591.6
1990-03,15472.6
1990-04,14704
1990-05,16129.2
1990-06,16622.5
1990-07,17564.5
1990-08,15962.1
1990-09,14188.8
1990-10,14062.799999999997
1990-11,13761.8
1990-12,13963.8
1991-01,14758.3
1991-02,16291
1991-03,16819.600000000002
1991-04,17257.699999999997
1991-05,17232.8
1991-06,17009.1
1991-07,17767.600000000002
1991-08,17460.7
1991-09,17450.8
1991-10,18018.6
1991-11,17973.1
1991-12,18488.2
1992-01,19098.6
1992-02,19597
1992-03,19515
1992-04,20221.7
1992-05,21262.2
1992-06,21273.5
1992-07,20773.1
1992-08,19795.2
1992-09,19808.5
1992-10,20654.3
1992-11,20243.6
1992-12,20315.9
1993-01,20567.8
1993-02,21899.7
1993-03,22174.2
1993-04,23625.4
1993-05,24530.6
1993-06,23947.6
1993-07,24715
1993-08,26544.8
1993-09,27112
1993-10,31635.199999999997
1993-11,30965.399999999994
1993-12,37576.799999999996
1994-01,36356.9
1994-02,34726.9
1994-03,31231
1994-04,32443.1
1994-05,33751.2
1994-06,32486
1994-07,34162.2
1994-08,36686.5
1994-09,35757.4
1994-10,36440.4
1994-11,33601.6
1994-12,32961.100000000006
1995-01,29962.400000000005
1995-02,32108.80000000001
1995-03,32068.5
1995-04,32238.2
1995-05,34864.1
1995-06,34350.2
1995-07,35487.8
1995-08,34301.9
1995-09,34600.7
1995-10,34017
1995-11,33532.6
1995-12,34966.100000000006
1996-01,37303.1
1996-02,37863.8
1996-03,38071.6
1996-04,39500.79999999999
1996-05,39044.8
1996-06,38393.4
1996-07,35877.9
1996-08,37196.49999999999
1996-09,37720.29999999999
1996-10,37456.8
1996-11,39159.1
1996-12,39035
1997-01,39408
1997-02,39823.5
1997-03,37980.8
1997-04,37726.9
1997-05,39269.3
1997-06,40702.3
1997-07,40905.3
1997-08,34559.3
1997-09,34811.1
1997-10,27823.5
1997-11,26243.9
1997-12,25683.1
1998-01,24516.4
1998-02,28232.6
1998-03,27930.299999999996
1998-04,26061.1
1998-05,22806.4
1998-06,20987.2
1998-07,20648.6
1998-08,17701.6
1998-09,19206.4
1998-10,22565.5
1998-11,24258.8
1998-12,24548.900000000005
1999-01,24778.2
1999-02,24269.4
1999-03,26499.8
1999-04,30687.5
1999-05,29403.3
1999-06,33103.4
1999-07,32589.1
1999-08,32696.3
1999-09,30988.7
1999-10,31552.999999999996
1999-11,34204.6
1999-12,36782.799999999996
2000-01,36276.4
2000-02,35490.2
2000-03,36077.2
2000-04,33336.3
2000-05,30843.2
2000-06,33071.6
2000-07,31537.9
2000-08,31408.7
2000-09,28308.6
2000-10,26182.4
2000-11,25570.3
2000-12,25759.1
2001-01,28512.2
2001-02,27177.999999999996
2001-03,24186.9
2001-04,24896.3
2001-05,24881.2
2001-06,24657.499999999996
2001-07,23652.199999999997
2001-08,23431.2
2001-09,19950
2001-10,21218.4
2001-11,23721.999999999996
2001-12,25140.9
2002-01,25870.299999999996
2002-02,26047.699999999997
2002-03,27555.8
2002-04,27660.5
2002-05,27728.500000000004
2002-06,26380.900000000005
2002-07,25023.4
2002-08,24968.6
2002-09,22740.8
2002-10,23931.1
2002-11,24964.2
2002-12,23856.9
2003-01,24149.8
2003-02,23432
2003-03,23098.5
2003-04,24268.7
2003-05,25853.3
2003-06,27257
2003-07,28587.400000000005
2003-08,30209.3
2003-09,30814.799999999996
2003-10,33415.49999999999
2003-11,33171.8
2003-12,35466.8
