Date,MSCI ACWI IMI
1994-05,10000
1994-06,10020.855091172101
1994-07,10180.041385841892
1994-08,10515.279678773217
1994-09,10284.057369339449
1994-10,10507.43063979398
1994-11,10003.502876899825
1994-12,10095.810170019266
1995-01,9891.410816105452
1995-02,9949.143416861813
1995-03,10400.430724122498
1995-04,10722.500794634112
1995-05,10795.444962668415
1995-06,10824.862641817865
1995-07,11356.229607093976
1995-08,11161.625334881519
1995-09,11429.62785176344
1995-10,11200.513755278642
1995-11,11517.65385089421
1995-12,11854.513846093969
1996-01,12069.324528571153
1996-02,12167.63212008381
1996-03,12358.409174942755
1996-04,12747.74745554914
1996-05,12783.814113999184
1996-06,12792.506438158007
1996-07,12243.916994791092
1996-08,12433.493989971394
1996-09,12844.692817156314
1996-10,12824.032330256427
1996-11,13402.980040088481
1996-12,13226.765871600102
1997-01,13367.821534908764
1997-02,13504.368865911169
1997-03,13200.883503395848
1997-04,13450.333746326845
1997-05,14378.142048145097
1997-06,15048.975408506802
1997-07,15640.864302440987
1997-08,14724.732256955482
1997-09,15430.659254406166
1997-10,14526.527805707095
1997-11,14574.562626898203
1997-12,14714.710136936541
1998-01,14980.539572778755
1998-02,16042.592388378234
1998-03,16711.090497473386
1998-04,16861.487165848248
1998-05,16524.432566376276
1998-06,16699.706147548957
1998-07,16583.884171537182
1998-08,14147.665721754813
1998-09,14453.064692946893
1998-10,15693.569626165197
1998-11,16573.926919608977
1998-12,17358.409174942753
1999-01,17675.03032583242
1999-02,17175.12438456399
1999-03,17960.190452714407
1999-04,18869.284310354895
1999-05,18305.77520611836
1999-06,19246.394955857264
1999-07,19226.545320091594
1999-08,19272.82870283279
1999-09,19164.6935955734
1999-10,20089.32336094552
1999-11,20966.66428817001
1999-12,22735.42251830902
2000-01,21687.57581458105
2000-02,22306.968778987928
2000-03,23196.504907271068
2000-04,21775.893720120137
2000-05,21009.18532164843
2000-06,21961.31915749324
2000-07,21240.440065127565
2000-08,22226.824252881765
2000-09,21062.960968869804
2000-10,20379.672935086503
2000-11,18882.712005137553
2000-12,19286.191529524713
2001-01,19841.59212241906
2001-02,18135.982978612992
2001-03,16842.870023806594
2001-04,18117.365836571335
2001-05,17990.06220849902
2001-06,17502.8055449244
2001-07,17088.071406794286
2001-08,16369.559999740528
2001-09,14757.977153458443
2001-10,15186.138986371217
2001-11,16100.000648680909
2001-12,16318.249339967175
2002-01,15889.471260192402
2002-02,15765.865113292119
2002-03,16567.504978625962
2002-04,16213.195467017817
2002-05,16253.510985411167
2002-06,15269.786389377203
2002-07,13976.349094117113
2002-08,14025.746145213709
2002-09,12574.549653280057
2002-10,13401.293469729306
2002-11,14129.048579713153
2002-12,13501.644406100195
2003-01,13118.079385569445
2003-02,12892.500600029842
2003-03,12865.612776419151
2003-04,13991.949869939479
2003-05,14880.967053496715
2003-06,15183.025318015818
2003-07,15545.281170739303
2003-08,15964.880415674726
2003-09,16082.259225864205
2003-10,17085.541551255523
2003-11,17366.128477740516
2003-12,18386.795451449478
2004-01,18765.333194948074
2004-02,19142.60601067729
2004-03,19123.924000544892
2004-04,18627.131727631862
2004-05,18784.566583851738
2004-06,19206.3064757815
2004-07,18553.311840372604
2004-08,18659.987415590396
2004-09,19092.65758080942
2004-10,19560.810591661855
2004-11,20675.471428849436
2004-12,21499.06914289792
2005-01,21072.172237754527
2005-02,21806.73849726581
2005-03,21336.931350099574
2005-04,20838.160600419047
2005-05,21301.253900193955
2005-06,21590.176376338717
2005-07,22436.41305405458
2005-08,22606.88639651269
2005-09,23262.21628318814
2005-10,22642.49897832757
