Date,MSCI ACWI
1987-12,10000
1988-01,10253.3
1988-02,10848.8
1988-03,11186.2
1988-04,11331.4
1988-05,11110.2
1988-06,11101.4
1988-07,11309.5
1988-08,10690.699999999997
1988-09,11152.6
1988-10,11884.9
1988-11,12285.8
1988-12,12399.1
1989-01,12848.2
1989-02,12772.3
1989-03,12702
1989-04,13021.700000000003
1989-05,12714.6
1989-06,12538.1
1989-07,13955.099999999999
1989-08,13627.099999999999
1989-09,14039.7
1989-10,13588.1
1989-11,14122.8
1989-12,14587
1990-01,13917.2
1990-02,13333.000000000002
1990-03,12510
1990-04,12352.999999999998
1990-05,13643.700000000003
1990-06,13552.099999999999
1990-07,13689.7
1990-08,12402.8
1990-09,11106.9
1990-10,12129.000000000002
1990-11,11925.7
1990-12,12183
1991-01,12633.600000000002
1991-02,13821.700000000003
1991-03,13436.000000000002
1991-04,13549.2
1991-05,13873.3
1991-06,13027.4
1991-07,13648
1991-08,13620.500000000002
1991-09,13967.4
1991-10,14210.5
1991-11,13599
1991-12,14608.9
1992-01,14390.5
1992-02,14173.1
1992-03,13542.2
1992-04,13723.8
1992-05,14249.8
1992-06,13741.7
1992-07,13785.6
1992-08,14094.7
1992-09,13974.6
1992-10,13632.8
1992-11,13859.7
1992-12,13990.799999999997
1993-01,14040.3
1993-02,14370.500000000002
1993-03,15196.3
1993-04,15886.5
1993-05,16259.7
1993-06,16154.2
1993-07,16489.2
1993-08,17271.100000000002
1993-09,16981.5
1993-10,17484.4
1993-11,16575.5
1993-12,17472
1994-01,18630.699999999997
1994-02,18361.4
1994-03,17536.4
1994-04,18013.3
1994-05,18119.5
1994-06,18031.5
1994-07,18430.600000000006
1994-08,19087.1
1994-09,18638.9
1994-10,19116.6
1994-11,18286.4
1994-12,18350.2
1995-01,17976.8
1995-02,18168.8
1995-03,19001
1995-04,19692.100000000002
1995-05,19909.5
1995-06,19913.899999999998
1995-07,20877.4
1995-08,20420.300000000003
1995-09,20982.1
1995-10,20631.4
1995-11,21280.4
1995-12,21921.2
1996-01,22408.5
1996-02,22501.8
1996-03,22848.2
1996-04,23406.100000000006
1996-05,23430.3
1996-06,23558.8
1996-07,22678.9
1996-08,22958.6
1996-09,23806.4
1996-10,23901.6
1996-11,25179.4
1996-12,24814.7
1997-01,25231
1997-02,25575
1997-03,25063.4
1997-04,25868.400000000005
1997-05,27411.900000000005
1997-06,28814.6
1997-07,30117.5
1997-08,28004.4
1997-09,29497.9
1997-10,27741.5
1997-11,28165.9
1997-12,28535.700000000004
1998-01,29163.899999999994
1998-02,31158.999999999996
1998-03,32488.5
1998-04,32793
1998-05,32170.800000000003
1998-06,32750.4
1998-07,32761.100000000006
1998-08,28171.2
1998-09,28731.599999999995
1998-10,31355.59999999999
1998-11,33259.2
1998-12,34803.8
1999-01,35515.1
1999-02,34622.5
1999-03,36179.8
1999-04,37742.899999999994
1999-05,36409.2
1999-06,38221.9
1999-07,38065.7
1999-08,38020
1999-09,37610.1
1999-10,39514.9
1999-11,40742.7
1999-12,44136.9
2000-01,41756
2000-02,41897.8
2000-03,44652.1
2000-04,42649.2
2000-05,41542.4
2000-06,42950.5
2000-07,41689
2000-08,42985
2000-09,40624.1
2000-10,39829.3
2000-11,37361.8
2000-12,37985.9
2001-01,38946.3
2001-02,35669.4
2001-03,33268.3
2001-04,35691.5
2001-05,35293.6
2001-06,34212.3
2001-07,33673.1
2001-08,32125.599999999995
2001-09,29191.1
2001-10,29811.399999999994
2001-11,31644.8
2001-12,31941.4
2002-01,31066.2
2002-02,30838
2002-03,32230.6
2002-04,31209.8
2002-05,31253.9
2002-06,29346.6
2002-07,26885.5
2002-08,26955
2002-09,23998.5
2002-10,25765.7
2002-11,27175.099999999995
2002-12,25879.5
2003-01,25124.2
2003-02,24683.9
2003-03,24590.6
2003-04,26786.6
2003-05,28345.4
2003-06,28889.800000000003
2003-07,29530.900000000005
2003-08,30231.9
2003-09,30424.999999999996
2003-10,32270.699999999997
2003-11,32765.1
2003-12,34842.70000000001
2004-01,35439.8
2004-02,36093.8
2004-03,35901.6
2004-04,35077.5
2004-05,35373.4
2004-06,36088.3
2004-07,34943.5
2004-08,35170.4
2004-09,35911.399999999994
2004-10,36797.6
2004-11,38818.90000000001
2004-12,40332
2005-01,39485.1
2005-02,40871.4
2005-03,39987.2
2005-04,39131.9
2005-05,39891.9
2005-06,40312.8
2005-07,41814.2
2005-08,42151.2
2005-09,43431.2
2005-10,42269.5
2005-11,43830.4
2005-12,44919.2
2006-01,47140.4
2006-02,47090.3
2006-03,48101.1
2006-04,49726.5
2006-05,47808.1
2006-06,47806.9
2006-07,48145
2006-08,49417.5
2006-09,50006.9
2006-10,51892.3
2006-11,53384.9
2006-12,54589.70000000001
2007-01,55144.6
2007-02,54875.8
2007-03,55999.5
2007-04,58516.5
2007-05,60310.6
2007-06,60154.9
2007-07,59250.19999999999
2007-08,59111.4
2007-09,62303.3
2007-10,64746.5
2007-11,61910.29999999999
2007-12,61241.3
2008-01,56239.5
2008-02,56424.9
2008-03,55622.2
2008-04,58765.9
2008-05,59751.1
2008-06,54864.6
2008-07,53457.1
2008-08,52328.3
2008-09,45809.100000000006
2008-10,36743.2
2008-11,34352.600000000006
2008-12,35614.6
2009-01,32582.7
2009-02,29412.599999999995
2009-03,31851.5
2009-04,35640.6
2009-05,39234.1
2009-06,39029.9
2009-07,42479.3
2009-08,44016.30000000001
2009-09,46049.8
2009-10,45347.5
2009-11,47232.8
2009-12,48224.8
2010-01,46150.1
2010-02,46755.1
2010-03,49786
2010-04,49895.7
2010-05,45209.2
2010-06,43832.3
2010-07,47412.8
2010-08,45774.2
2010-09,50169.4
2010-10,51992.8
2010-11,50857.4
2010-12,54596.7
2011-01,55465.9
2011-02,57103.8
2011-03,57070.5
2011-04,59438.3
2011-05,58216.2
2011-06,57321.5
2011-07,56406.7
2011-08,52309.40000000001
2011-09,47389.8
2011-10,52479.9
2011-11,50935.1
2011-12,50849.7
2012-01,53820.6
2012-02,56555.6
2012-03,56958.90000000001
2012-04,56344.4
2012-05,51343.1
