Date,MSCI Emerging Markets
1987-12,10000
1988-01,10983.8
1988-02,11021.1
1988-03,12204.6
1988-04,12856.1
1988-05,13241.3
1988-06,13691.1
1988-07,13343.1
1988-08,12985.7
1988-09,13827.2
1988-10,13737.9
1988-11,13679.2
1988-12,14042.7
1989-01,13865.7
1989-02,14926.499999999998
1989-03,16413.7
1989-04,19528.8
1989-05,19792.1
1989-06,17390.6
1989-07,18534.5
1989-08,18964.7
1989-09,21355
1989-10,21654.1
1989-11,20644.8
1989-12,23164.9
1990-01,23927.2
1990-02,24865.6
1990-03,21501.4
1990-04,23052.5
1990-05,24946
1990-06,25808
1990-07,28083.6
1990-08,24500.7
1990-09,21372.1
1990-10,20975.3
1990-11,19880.699999999997
1990-12,20720.899999999998
1991-01,22396.1
1991-02,25709.4
1991-03,26766.000000000004
1991-04,27047.9
1991-05,29170.1
1991-06,28128.1
1991-07,29586.399999999994
1991-08,30209.8
1991-09,29051.799999999996
1991-10,30237.3
1991-11,29788
1991-12,33134.9
1992-01,36970.8
1992-02,38613.3
1992-03,39919.8
1992-04,39642.5
1992-05,39500.3
1992-06,35581.9
1992-07,35968.799999999996
1992-08,34291.6
1992-09,34409.4
1992-10,36249.9
1992-11,35859.399999999994
1992-12,36913.5
1993-01,37092
1993-02,37714
1993-03,38961.2
1993-04,39857.2
1993-05,40967.70000000001
1993-06,42182.5
1993-07,43296.7
1993-08,46952.600000000006
1993-09,48669.9
1993-10,53036.7
1993-11,55383.7
1993-12,64538.4
1994-01,65712.6
1994-02,64543.60000000002
1994-03,58703.09999999999
1994-04,57528.9
1994-05,59497.79999999999
1994-06,57857.8
1994-07,61455.3
1994-08,69082.7
1994-09,69867.8
1994-10,68607.5
1994-11,65040.3
1994-12,59816.5
1995-01,53452.5
1995-02,52081.6
1995-03,52412.5
1995-04,54763.8
1995-05,57677.20000000001
1995-06,57847.79999999999
1995-07,59146.3
1995-08,57753.09999999999
1995-09,57479
1995-10,55278.7
1995-11,54292.9
1995-12,56700.9
1996-01,60731.3
1996-02,59765.7
1996-03,60231.2
1996-04,62639.4
1996-05,62359.7
1996-06,62749.1
1996-07,58460.6
1996-08,59957.00000000001
1996-09,60476.4
1996-10,58863.5
1996-11,59849.80000000001
1996-12,60120.5
1997-01,64221.3
1997-02,66971.6
1997-03,65212.4
1997-04,65327.600000000006
1997-05,67197.3
1997-06,70793.50000000001
1997-07,71850.3
1997-08,62707.4
1997-09,64444.90000000001
1997-10,53870.3
1997-11,51904.7
1997-12,53155.49999999999
1998-01,48986.5
1998-02,54099.5
1998-03,56447.2
1998-04,55832.3
1998-05,48181
1998-06,43127
1998-07,44494.4
1998-08,31629.3
1998-09,33635.700000000004
1998-10,37177.6
1998-11,40269.600000000006
1998-12,39686
1999-01,39045.7
1999-02,39425.5
1999-03,44621.4
1999-04,50142
1999-05,49850.3
1999-06,55507.899999999994
1999-07,54000
1999-08,54491.3
1999-09,52647.2
1999-10,53768.2
1999-11,58589.3
1999-12,66040.7
2000-01,66434.3
2000-02,67311.7
2000-03,67640.2
2000-04,61228.4
2000-05,58697.1
2000-06,60764.70000000001
2000-07,57639.6
2000-08,57923
2000-09,52865.4
2000-10,49032.5
2000-11,44745.399999999994
2000-12,45825.7
2001-01,52135.9
2001-02,48053.600000000006
2001-03,43333.8
2001-04,45474.99999999999
2001-05,46017.8
2001-06,45073.2
2001-07,42225
2001-08,41808.5
2001-09,35337.4
2001-10,37530.399999999994
2001-11,41448.7
2001-12,44738.7
2002-01,46254.8
2002-02,47014.69999999999
2002-03,49842.70000000001
2002-04,50166.2
2002-05,49366.9
2002-06,45663.3
2002-07,42190.3
2002-08,42840.4
2002-09,38218.3
2002-10,40698.200000000004
2002-11,43499.6
2002-12,42054.3
2003-01,41871.2
2003-02,40741.1
2003-03,39585.9
2003-04,43111.9
2003-05,46206.1
2003-06,48839.6
2003-07,51898.29999999999
2003-08,55381.7
2003-09,55787.69999999999
2003-10,60535.1
2003-11,61279
2003-12,65721.5
2004-01,68055.6
2004-02,71195
2004-03,72109.8
2004-04,66214.3
2004-05,64910.2
2004-06,65206.7
2004-07,64053.7
2004-08,66735
2004-09,70589.4
2004-10,72280.49999999999
2004-11,78975.5
2004-12,82777.50000000001
2005-01,83039.5
2005-02,90331.1
2005-03,84380
2005-04,82130.99999999999
2005-05,85022.7
2005-06,87957.6
2005-07,94181.29999999999
2005-08,95029.1
2005-09,103890.2
2005-10,97102.5
2005-11,105142.3
2005-12,111370.70000000001
2006-01,123878.2
2006-02,123759.6
2006-03,124869
2006-04,133780
2006-05,119791.4
2006-06,119537.4
2006-07,121295.3
2006-08,124446.4
2006-09,125492.5
2006-10,131459.7
2006-11,141250.2
2006-12,147623.9
2007-01,146132.8
2007-02,145286.3
2007-03,151106.19999999998
2007-04,158296.7
2007-05,166027.7
2007-06,173880.9
2007-07,183145.5
2007-08,179313.30000000005
2007-09,199131
2007-10,221353.69999999995
2007-11,205672.4
2007-12,206410.9
2008-01,180712.5
2008-02,194117
2008-03,183862
2008-04,198812.8
2008-05,202558.9
2008-06,182379.2
2008-07,175644.1
2008-08,161671.9
2008-09,133396.2
2008-10,96908.00000000001
2008-11,89619.9
2008-12,96634.40000000002
2009-01,90433.2
2009-02,85346.8
2009-03,97623.6
2009-04,113884.09999999998
2009-05,133409.5
2009-06,131638.9
2009-07,146535.5
2009-08,146050.3
2009-09,159331.19999999995
2009-10,159543
2009-11,166404.3
2009-12,172996.3
2010-01,163375.99999999997
2010-02,163985.3
2010-03,177237.3
2010-04,179424.2
2010-05,163720.00000000003
2010-06,162545.7
2010-07,176196.9
2010-08,172834.3
2010-09,192064.7
2010-10,197658.3
2010-11,192448.5
2010-12,206204.2
2011-01,200648.9
2011-02,198807.4
2011-03,210527.5
2011-04,217103.8
2011-05,211495.6
2011-06,208331
2011-07,207547.5
2011-08,189076.3
2011-09,161541.90000000002
2011-10,182955.3
2011-11,170771.9
2011-12,168730
2012-01,187901.1
2012-02,199191.1
2012-03,192564.2
2012-04,190316.4
2012-05,169072.19999999995
2012-06,175677
2012-07,179230.4
2012-08,178712.4
2012-09,189531.6
2012-10,188401.3
2012-11,190807.1
2012-12,200159.6
2013-01,202950.39999999997
2013-02,200429.8
2013-03,197021.1
2013-04,198583.3
2013-05,193582
2013-06,181350.3
2013-07,183343.2
2013-08,180266.40000000002
2013-09,192046.4
2013-10,201405.1
2013-11,198475.79999999996
2013-12,195622.4
2014-01,182963.10000000003
2014-02,189062.4
2014-03,194908.3
2014-04,195633.9
2014-05,202507
2014-06,207979
2014-07,212171.30000000005
2014-08,217037.5
2014-09,200995.1
2014-10,203388.3
2014-11,201249.2
2014-12,192069.3
2015-01,193236.3
2015-02,199242.8
2015-03,196449.4
2015-04,211608.59999999998
2015-05,203175.5
2015-06,198053.5
2015-07,184446.4
2015-08,167828
2015-09,162839.00000000003
2015-10,174466
2015-11,167672.3
2015-12,164029.6
2016-01,153397.49999999997
2016-02,153163.4
2016-03,173469.2
2016-04,174446.6
2016-05,167973.8
2016-06,174852.4
2016-07,183752.1
2016-08,188379.8
2016-09,190858.1
2016-10,191329.89999999997
2016-11,182534.5
2016-12,183063.8
2017-01,193090.8
2017-02,199016.5
2017-03,204090.2
2017-04,208600.5
2017-05,214811.2
2017-06,217119.5
2017-07,230236.2
2017-08,235457.70000000004
2017-09,234574.89999999997
2017-10,242812.9
2017-11,243313.60000000003
2017-12,252174.3
2018-01,273210.9
2018-02,260649.5
2018-03,255870.1
2018-04,254785.5
2018-05,245818.39999999997
2018-06,235768.6
2018-07,241155.6
2018-08,234705.69999999995
2018-09,233537.9
2018-10,213220.5
2018-11,222022.6
2018-12,216274.89999999997
2019-01,235228.00000000003
2019-02,235778.39999999997
2019-03,237803.1
2019-04,242854.2
2019-05,225309
2019-06,239553.69999999995
2019-07,236822.9
2019-08,225343.9
2019-09,229719.9
2019-10,239431
2019-11,239117.29999999996
2019-12,257114.2
2020-01,245138.9
2020-02,232225.9
2020-03,196516.2
2020-04,214550.10000000003
2020-05,216243.6
2020-06,232251.3
2020-07,253213.50000000003
2020-08,258873.3
2020-09,254781.5
2020-10,260070.00000000003
2020-11,284139.1
2020-12,305161.7
2021-01,314597.3
2021-02,317020.8
2021-03,312310.99999999994
2021-04,320129
2021-05,327627
2021-06,328302.3
2021-07,306400.4
2021-08,314516.9
2021-09,302128.3
2021-10,305152.6
2021-11,292741.7
2021-12,298376.60000000003
2022-01,292751.1
2022-02,284035.9
2022-03,277719.2
2022-04,262312.7
2022-05,263533.3
2022-06,246238.50000000003
2022-07,245839.9
2022-08,246958.4
2022-09,218129.7
2022-10,211385.9
2022-11,242770.7
2022-12,239489.8
2023-01,258423.00000000003
2023-02,241685.60000000003
2023-03,249109.6
2023-04,246333.9
2023-05,242267.6
2023-06,251696.30000000005
2023-07,267536.4
2023-08,251133.30000000005
