Date,MSCI Europe Value
1978-12,10000
1979-01,10075.74448610962
1979-02,10339.542637794726
1979-03,10949.60796858145
1979-04,11189.076356232576
1979-05,10677.170649245125
1979-06,10956.239113481308
1979-07,11069.995937256293
1979-08,11451.146674387437
1979-09,11988.456204089829
1979-10,10816.611484956175
1979-11,11197.949014901396
1979-12,11309.324230296861
1980-01,11814.318603163338
1980-02,11873.718718040918
1980-03,10342.904908448172
1980-04,11498.498652756829
1980-05,11644.710727978296
1980-06,12463.190141075273
1980-07,12614.865906108595
1980-08,12685.61368444156
1980-09,12599.222007929355
1980-10,12638.121611461607
1980-11,12253.655301880537
1980-12,12024.787406428475
1981-01,11594.977141229378
1981-02,11624.723896871688
1981-03,12004.333593286667
1981-04,12110.945591923082
1981-05,11123.55877669386
1981-06,10946.806076370243
1981-07,10495.094353720213
1981-08,10748.338711409773
1981-09,9747.923097398443
1981-10,10217.520231996676
1981-11,11485.236362957117
1981-12,11092.084187521306
1982-01,11177.168314334947
1982-02,10839.680397495109
1982-03,10813.902989152008
1982-04,11160.030073643067
1982-05,11081.530393525762
1982-06,10112.916256111628
1982-07,10171.195614104727
1982-08,10195.805567359825
1982-09,10257.68068702397
1982-10,10512.232594412093
1982-11,10585.221886514026
1982-12,11232.64578011684
1983-01,11534.549665874354
1983-02,12030.484587257928
1983-03,12709.896750272017
1983-04,13781.340331837435
1983-05,13659.131133225306
1983-06,14137.97451212052
1983-07,13874.783437081176
1983-08,13728.38456904563
1983-09,13950.948207022477
1983-10,13814.169168912073
1983-11,14232.725167062823
1983-12,14477.750640932843
1984-01,15417.271797553949
1984-02,15918.623710545857
1984-03,16285.531495603365
1984-04,16145.436885043033
1984-05,15120.738205201249
1984-06,14989.236064088615
1984-07,13935.86468728548
1984-08,15140.818432714892
1984-09,14917.647718092285
1984-10,14892.804273819587
1984-11,14905.179297752416
1984-12,14997.501646111674
1985-01,15772.50503173143
1985-02,15169.724620693842
1985-03,16812.00704208909
1985-04,17219.86915163374
1985-05,18070.103343124392
1985-06,18448.498886247846
1985-07,20107.732755520898
1985-08,21129.16256111627
1985-09,21567.09831372787
1985-10,23917.558991505597
1985-11,25740.656856930716
1985-12,27083.136811726854
1986-01,27452.426205163887
1986-02,31044.872303762477
1986-03,33683.46089725928
1986-04,36293.93717223698
1986-05,32975.79632111553
1986-06,34580.34659406653
1986-07,34095.29235410314
1986-08,37893.350642800775
1986-09,35936.97610452926
1986-10,36034.01497144405
1986-11,37704.17622034081
1986-12,38768.52167497117
1987-01,41008.72789423791
1987-02,42371.007887326574
1987-03,44993.57899701599
1987-04,46966.4380011301
1987-05,47030.60133276673
1987-06,48473.669217945186
1987-07,50204.538131418085
1987-08,50759.5462802546
1987-09,51104.879495285815
1987-10,41872.691357563475
1987-11,40310.35626059466
1987-12,42772.93932502417
1988-01,41245.11420045671
1988-02,43648.95092485792
1988-03,45245.74929602459
1988-04,46313.55041771543
1988-05,45519.914448891155
