Date,MSCI Japan
1978-12,10000
1979-01,9965.319021973972
1979-02,9581.172007549754
1979-03,9239.749563681871
1979-04,8952.72425255384
1979-05,9088.062373383566
1979-06,9147.62237016613
1979-07,9120.648276145883
1979-08,9154.375246685759
1979-09,9327.630488582776
1979-10,8603.856809088138
1979-11,8258.431274984241
1979-12,8779.09489007402
1980-01,8952.892606816104
1980-02,8602.80927145628
1980-03,8360.02371924495
1980-04,9040.193644813658
1980-05,9576.757384672654
1980-06,9948.633243980868
1980-07,9452.998295880745
1980-08,10079.668978108335
1980-09,10741.151580565933
1980-10,11000.267496216704
1980-11,10645.33929930956
1980-12,11390.363027907526
1981-01,11613.039598793088
1981-02,11445.152987259324
1981-03,12128.278465432193
1981-04,13008.846081180423
1981-05,12672.586501355252
1981-06,13117.43458033959
1981-07,12632.667835169954
1981-08,13120.390132943749
1981-09,11878.81486081779
1981-10,11865.402637924231
1981-11,12943.95486609289
1981-12,13151.442141316567
1982-01,12929.158397042951
1982-02,11897.932422599128
1982-03,10753.235675390535
1982-04,11708.477759466654
1982-05,11258.03657776938
1982-06,10577.548649705286
1982-07,10182.383784117459
1982-08,10238.483165509075
1982-09,9845.357257097538
1982-10,9880.861300405733
1982-11,11709.618827244209
1982-12,13037.821720318676
1983-01,12496.338294795796
1983-02,12700.308836541106
1983-03,13207.560228737324
1983-04,13485.269937353509
1983-05,13513.946280025515
1983-06,13941.266809705436
1983-07,14053.820987042334
1983-08,13878.003019153104
1983-09,14970.809241526638
1983-10,14895.274295858299
1983-11,15076.741484547883
1983-12,16236.141170660716
1984-01,16993.73535084093
1984-02,16940.610228082613
1984-03,19994.986784190412
1984-04,19556.386518938918
1984-05,17150.08034239516
1984-06,17227.990953764307
1984-07,16009.21833116032
1984-08,17379.54720185863
1984-09,17302.88989444188
1984-10,18153.88327811937
1984-11,18274.61199019056
1984-12,18971.897932422595
1985-01,18873.971869873378
1985-02,19490.111057695005
1985-03,20599.397291741105
1985-04,19893.41304595885
1985-05,20585.33035782763
1985-06,21512.288925843688
1985-07,21618.707525622583
1985-08,22136.359470020783
1985-09,24483.423652277364
1985-10,25253.831462418653
1985-11,25628.662874331025
1985-12,27142.52310662249
1986-01,27891.849221922716
1986-02,31250.36710582188
1986-03,37953.82229646437
1986-04,39396.39385170234
1986-05,39134.939682409036
1986-06,43108.343450177425
1986-07,48806.34957453136
1986-08,53242.29732485078
1986-09,54568.928911477466
1986-10,47288.03730730452
1986-11,50421.78354505441
1986-12,54124.249186755376
1987-01,62828.44513615184
1987-02,63953.63149496714
1987-03,70958.49693314653
1987-04,82120.8521718635
1987-05,81969.65133832286
1987-06,75897.15051058106
1987-07,73238.50000093531
1987-08,82364.74137979413
1987-09,79451.48310752037
1987-10,73488.44996230735
1987-11,76423.16405000495
1987-12,77412.43240108721
1988-01,81580.56593220562
1988-02,87740.79803661519
1988-03,94352.03250359623
1988-04,95333.12631994419
1988-05,91026.17534657594
1988-06,87594.42335859271
1988-07,91609.9343979558
1988-08,84689.28350296585
1988-09,88335.79941150833
1988-10,95706.9101942247
1988-11,104211.62504886951
1988-12,104809.22656181314
1989-01,105118.96099231744
1989-02,107151.12788002702
1989-03,103408.6313359659
1989-04,103240.53895811157
1989-05,97393.03424886875
1989-06,93029.90906999235
1989-07,105370.14555161275
1989-08,98099.26167302983
1989-09,104351.00367199352
1989-10,101615.77067904756
1989-11,106799.47323821942
1989-12,106604.18229399518
1990-01,100191.69938662929
1990-02,89833.0673959524
1990-03,72413.88211834556
1990-04,73327.87740816742
1990-05,83823.19435377217
1990-06,79910.56647468045
1990-07,78832.63154547343
1990-08,71162.33653268786
1990-09,59516.823267307285
1990-10,73946.57932198126
1990-11,65061.40254065287
1990-12,68119.78218699669
1991-01,70056.7915044698
1991-02,78891.91095181888
1991-03,73986.83469669109
1991-04,75829.47209715164
1991-05,75481.20324661842
1991-06,70049.15944458058
1991-07,72214.79385020587
1991-08,68226.05113854246
1991-09,74184.53871867442
1991-10,77389.62975156523
1991-11,71924.00862722064
1991-12,74198.62435861702
1992-01,70760.73679307578
1992-02,64852.26913486486
1992-03,57821.79514279247
1992-04,54262.11262151906
1992-05,58602.82797748542
1992-06,53244.61687246416
1992-07,52635.19314910389
1992-08,61960.07385140305
1992-09,60474.70290149218
1992-10,57666.3106285787
1992-11,59156.1149073958
1992-12,58281.66416317643
1993-01,58091.59220108234
1993-02,60606.56170090182
1993-03,69132.50789862081
1993-04,81420.18043835709
1993-05,83662.71532977794
1993-06,82502.32422412068
1993-07,87727.44193180904
1993-08,89640.78812241973
1993-09,85379.61080235771
1993-10,84990.862104765
1993-11,70885.03835671276
1993-12,73132.94187849686
1994-01,84940.29970799889
1994-02,88823.82100574837
1994-03,85023.9530703141
1994-04,88648.0030378591
1994-05,90588.64132498545
1994-06,95056.351912785
1994-07,91642.48288865984
1994-08,92266.49731474952
1994-09,89988.83250060327
1994-10,92456.30739243566
1994-11,87803.74382467213
1994-12,88811.47502651579
1995-01,83631.86908772566
1995-02,79592.807157675
1995-03,86916.68521681224
1995-04,91158.25861833528
1995-05,85504.52966495631
1995-06,81418.64654396758
1995-07,87898.77045270462
1995-08,84365.1641360527
1995-09,85080.80069287131
1995-10,80322.17393988256
1995-11,85076.36736396508
1995-12,89425.89325965653
1996-01,88250.72439097846
1996-02,86679.51147334298
1996-03,89738.54583070669
1996-04,94840.6713967979
1996-05,89959.78203734846
1996-06,90435.70083073476
1996-07,86385.97646407413
1996-08,82525.03334349694
1996-09,85384.28730964278
1996-10,79655.60329749882
1996-11,81174.98180838666
1996-12,75563.84648336006
1997-01,67339.21700303224
1997-02,68912.18828740691
1997-03,66641.89364874193
1997-04,69058.91837998305
1997-05,76685.96505339636
1997-06,82417.0995553577
1997-07,79906.20796989078
1997-08,72976.09182415584
1997-09,71872.82893149291
1997-10,65177.82886602181
1997-11,61177.43229820403
1997-12,57676.804710926386
1998-01,62822.81462138062
1998-02,63150.114013247614
1998-03,58853.90030060589
1998-04,58615.51066524252
1998-05,55394.03315082484
1998-06,56172.09172688449
1998-07,55432.56757085376
1998-08,49111.44490980889
1998-09,47770.74638926872
1998-10,55781.977489164536
1998-11,58332.50715037964
1998-12,60589.85721687957
1999-01,61029.28054741324
1999-02,59690.04109714603
1999-03,67969.38571270905
1999-04,70806.79103681908
1999-05,66816.49572473705
1999-06,73141.17253131857
1999-07,80443.70701120679
1999-08,79881.85271995017
1999-09,84728.94028474318
1999-10,88361.22090510995
1999-11,92149.95875320575
1999-12,97868.91563019677
2000-01,93630.11072098649
2000-02,91202.70414357253
2000-03,98723.59410161489
2000-04,91299.99420113098
2000-05,86652.91149990553
2000-06,92610.18318814338
2000-07,81945.0903220617
2000-08,87250.43818873262
2000-09,82915.22240533346
2000-10,78106.83761483163
2000-11,74861.64085546411
2000-12,70308.79912904729
2001-01,69472.48997824489
2001-02,66347.72263448233
2001-03,64378.146120276026
2001-04,68751.93373576237
2001-05,68587.09620697849
2001-06,64501.94262112622
2001-07,59695.989614412625
2001-08,58202.59377800059
2001-09,52764.844637074966
2001-10,52656.18131379925
2001-11,53227.51956182998
2001-12,49635.25113779422
2002-01,45749.74700095589
2002-02,47648.50248883718
2002-03,50381.07922564521
2002-04,53314.0162405745
2002-05,56637.404201748264
2002-06,53685.985630028415
2002-07,49956.6394244529
2002-08,49426.173850093626
2002-09,47217.160162892105
2002-10,43930.716609270334
2002-11,45707.28431480751
2002-12,44532.171564216864
2003-01,42727.114576299085
2003-02,42976.97100752543
2003-03,41032.161275900835
2003-04,40711.48381834949
2003-05,42685.54977954945
2003-06,45832.78306430946
2003-07,47692.873189957856
2003-08,52718.528508923715
2003-09,55844.41821443469
2003-10,58400.31650601305
2003-11,56597.42941747555
2003-12,60521.61762257593
2004-01,61616.593744329744
2004-02,61435.631618426945
2004-03,69684.74729089934
2004-04,65906.65317338431
2004-05,63592.49289638543
2004-06,67017.26753549937
2004-07,63044.46236066346
2004-08,63501.13265006444
2004-09,62011.51543153874
2004-10,63630.802844064674
2004-11,66701.71552993245
2004-12,70122.84249336403
