Date,MSCI USA
1978-12,10000
1979-01,10461.894269913764
1979-02,10105.2047918521
1979-03,10684.19593480513
1979-04,10688.500430449563
1979-05,10485.605474734799
1979-06,10892.708622123648
1979-07,11016.736462725987
1979-08,11565.2313484015
1979-09,11548.888856463309
1979-10,10810.558417112921
1979-11,11260.195818073045
1979-12,11444.924343017232
1980-01,12135.978287832138
1980-02,12014.57691914844
1980-03,10952.89860359243
1980-04,11429.311426611997
1980-05,11980.57869931274
1980-06,12370.17203391067
1980-07,13191.892956677804
1980-08,13283.381728510352
1980-09,13618.475770796551
1980-10,13962.835422351276
1980-11,15419.578889002378
1980-12,14883.486787387097
1981-01,14331.344024046808
1981-02,14635.649978842306
1981-03,15124.465585922111
1981-04,14845.11111435367
1981-05,14804.181926954898
1981-06,14775.217778296586
1981-07,14884.58115068653
1981-08,14035.720018093472
1981-09,13376.548524068696
1981-10,14041.264792143931
1981-11,14656.588796638116
1981-12,14269.03827353246
1982-01,14107.729123196123
1982-02,13379.612741307108
1982-03,13307.384763544569
1982-04,13891.55589278158
1982-05,13431.339646593613
1982-06,13263.099528694205
1982-07,13026.8629711234
1982-08,14630.61590766492
1982-09,14824.68299943093
1982-10,16477.536369340316
1982-11,17118.7603052544
1982-12,17428.683991653656
1983-01,18128.055097544246
1983-02,18515.53266309661
1983-03,19160.039688908997
1983-04,20668.364145740008
1983-05,20352.53089752382
1983-06,21144.70401120628
1983-07,20463.207505873084
1983-08,20884.975121474326
1983-09,21160.24397005822
1983-10,20925.75839376651
1983-11,21380.06507813754
1983-12,21267.19974318941
1984-01,21034.75697838997
1984-02,20166.999839493383
1984-03,20544.482220244267
1984-04,20762.333474384603
1984-05,19603.621612945586
1984-06,20025.24331344024
1984-07,19874.58596588505
1984-08,22038.06925130959
1984-09,22076.59083944961
1984-10,22193.322924722397
1984-11,21980.72461441933
1984-12,22538.120321596896
1985-01,24352.20988428932
1985-02,24643.967139917997
1985-03,24714.006391081668
1985-04,24662.717231114933
1985-05,26193.512614360963
1985-06,26581.209052573213
1985-07,26505.187282039307
1985-08,26268.22114893555
1985-09,25440.809537011366
1985-10,26599.083653130612
1985-11,28450.8922708768
1985-12,29920.257394248027
1986-01,30110.238863029488
1986-02,32392.934790538864
1986-03,34202.57394248027
1986-04,33728.34984605956
1986-05,35390.39586768418
1986-06,35852.727882917716
1986-07,33940.43745348956
1986-08,36449.81249908803
1986-09,33351.30521062845
1986-10,35244.18893088002
1986-11,36072.62194855033
1986-12,35163.78970714838
1987-01,39833.729736039575
1987-02,41264.28144105759
1987-03,42376.738213707264
1987-04,41993.85697401252
1987-05,42230.96902222287
1987-06,44417.79872470197
1987-07,46529.555104839994
1987-08,48363.05137670903
1987-09,47331.942275983834
1987-10,37286.78155049392
1987-11,34135.015248128635
1987-12,36538.67479900194
1988-01,38103.76023229685
1988-02,39699.12305020939
1988-03,38370.93079246493
1988-04,38723.315774882176
1988-05,39056.43996322939
1988-06,40874.46923379978
1988-07,40748.10675149198
1988-08,39381.319948054224
1988-09,41064.158872368054
1988-10,42322.89553937518
1988-11,41670.58205536019
1988-12,42353.17292399282
1989-01,45575.85396816133
1989-02,44209.21307983016
1989-03,45205.5943851867
1989-04,47661.85633198605
1989-05,49501.91878365167
1989-06,49317.77391913385
1989-07,53839.318284622
1989-08,54654.54598514584
1989-09,54539.20009338567
1989-10,53304.831249179224
1989-11,54408.02241256037
1989-12,55636.26282228998
1990-01,52028.43885427458
1990-02,52803.61285803919
1990-03,54055.71038769644
1990-04,52957.2614652795
1990-05,57855.996381305355
1990-06,57645.367924941274
1990-07,57561.46673865145
1990-08,52299.84095253381
1990-09,49878.306801103114
1990-10,49729.54634993361
1990-11,53000.37937927713
1990-12,54477.98870617075
1991-01,57081.11420775394
1991-02,61030.45248274554
1991-03,62521.99670231859
1991-04,62770.709001502924
1991-05,65383.02715480132
1991-06,62390.964936599885
1991-07,65316.05212087608
1991-08,66903.02482015963
1991-09,65770.94246567346
1991-10,66908.56959421009
1991-11,64208.04575897742
1991-12,71544.36548815899
1992-01,70354.28187880291
1992-02,71162.0679088906
1992-03,69852.18799702333
1992-04,71898.28257919544
1992-05,72194.34433046855
1992-06,71094.3632994324
1992-07,74061.83882217326
1992-08,72288.67844687961
1992-09,73076.62002247093
1992-10,73524.87122991843
1992-11,75970.9920768097
1992-12,76811.60900588038
1993-01,77489.3846759955
1993-02,78510.6445070258
1993-03,80129.86444486598
1993-04,78364.72940043482
1993-05,80371.79169159383
1993-06,80624.58961376271
1993-07,80540.76138502618
1993-08,83452.93508236908
1993-09,82635.44569769308
1993-10,84092.77282477055
1993-11,83529.61347088264
1993-12,84547.00655158829
1994-01,87628.00402725696
1994-02,85173.34714663007
1994-03,81494.68139436477
1994-04,82662.73182262559
1994-05,84047.39322662074
1994-06,81696.2631141202
1994-07,84468.65013934893
1994-08,87807.91735368363
1994-09,85965.37434520594
1994-10,87956.75076240643
1994-11,84970.9628937884
1994-12,86236.6305283586
1995-01,88634.89122028803
1995-02,92150.78867115112
1995-03,94642.14320108561
1995-04,97635.88344301285
1995-05,101471.77272263
1995-06,103991.65365590299
1995-07,107547.7507186319
1995-08,107579.77908452865
1995-09,112430.07018516629
1995-10,112401.83561204093
1995-11,117368.56696773817
1995-12,119167.8461471116
1996-01,123445.42045437964
1996-02,124757.27022018589
1996-03,126047.81638042984
1996-04,127939.09503450892
1996-05,131382.61859250287
1996-06,132185.2975938599
1996-07,126397.42897582187
1996-08,129255.61408372609
1996-09,136524.22920344942
1996-10,140042.89904133775
1996-11,150656.9827674259
1996-12,147833.37953978375
1997-01,157989.36278872952
1997-02,159136.76622940772
1997-03,152044.1976857864
1997-04,162090.67164723563
1997-05,171303.97035005034
1997-06,179143.04057899115
1997-07,193341.89368625334
1997-08,181898.79328206848
1997-09,191431.0624078911
1997-10,186247.50120379962
1997-11,195301.53356777027
1997-12,198224.3590678943
1998-01,200814.2062947777
1998-02,214939.00748544498
1998-03,226121.7223819182
1998-04,228808.9679424511
1998-05,224253.27944202063
1998-06,233927.81579676943
1998-07,231648.25704405177
1998-08,199438.08092451812
1998-09,212578.75767878248
1998-10,229064.5382516452
1998-11,244653.96232471944
1998-12,259125.02006332716
1999-01,270330.4247588753
1999-02,262788.87543227343
1999-03,273724.1912655217
1999-04,283633.57798432873
1999-05,277040.2579779084
1999-06,291949.20695139567
1999-07,282493.4702989801
1999-08,280716.8809186815
1999-09,272388.9950826609
1999-10,290211.21211679047
1999-11,296441.49533801235
1999-12,317121.6056498329
2000-01,300143.1427195658
2000-02,293014.97088993626
2000-03,322271.3145491953
2000-04,311853.2677688121
2000-05,303612.9309967461
2000-06,310903.65225511795
2000-07,305352.9686428436
2000-08,321236.63052835857
2000-09,303768.76833058527
2000-10,301611.55939474417
2000-11,277796.3171027096
2000-12,277368.4210526316
2001-01,287511.05306932423
2001-02,261818.9047612099
2001-03,245128.04050603358
2001-04,264226.72289262107
2001-05,265816.83276669635
2001-06,259733.6319729182
2001-07,257311.4412035078
2001-08,240223.54194329737
2001-09,221858.59367020268
2001-10,225107.10168823777
2001-11,242456.33490435264
2001-12,243997.05251484684
2002-01,240556.22838632483
2002-02,235859.14814760775
2002-03,244654.03528227276
2002-04,228786.42405848278
2002-05,227084.68912786542
