Date,MSCI World
1978-12,10000
1979-01,10255.476547303975
1979-02,10058.352731099136
1979-03,10479.130129779025
1979-04,10463.122987149643
1979-05,10281.241031854852
1979-06,10577.532604189917
1979-07,10656.165300851375
1979-08,11083.001179809316
1979-09,11330.952456873187
1979-10,10486.910493925576
1979-11,10807.94617518574
1979-12,11095.309460795255
1980-01,11762.061158764069
1980-02,11766.397755173624
1980-03,10498.963681005069
1980-04,11184.783648480596
1980-05,11733.809508625362
1980-06,12294.314594560123
1980-07,12670.00414527598
1980-08,12915.468256752014
1980-09,13301.297790249035
1980-10,13686.680909409775
1980-11,14256.94333726603
1980-12,13943.688020152422
1981-01,13535.920410701188
1981-02,13573.419214948502
1981-03,14054.079908166193
1981-04,14058.990465865247
1981-05,13782.659991709448
1981-06,13757.023054111794
1981-07,13522.719301042696
1981-08,13254.551831893115
1981-09,12256.36937597653
1981-10,12629.954401964225
1981-11,13566.595452951116
1981-12,13276.426134370715
1982-01,13079.110997736041
1982-02,12284.939893498293
1982-03,11947.386881795861
1982-04,12531.615701029941
1982-05,12213.449826217276
1982-06,11659.449634896846
1982-07,11507.222346226205
1982-08,12339.593762953988
1982-09,12394.438952839513
1982-10,13243.455246962787
1982-11,13942.221230190364
1982-12,14565.351870157201
1983-01,14873.441535665315
1983-02,15182.806670705653
1983-03,15714.231051305764
1983-04,16833.200471923723
1983-05,16665.476228436593
1983-06,17185.931571059595
1983-07,16876.63020949587
1983-08,16964.510060265933
1983-09,17305.18797232231
1983-10,17098.88077548548
1983-11,17537.769841522906
1983-12,17759.25512579318
1984-01,17903.702050317268
1984-02,17605.433500207262
1984-03,18430.917381461048
1984-04,18360.957877618697
1984-05,16981.856445904148
1984-06,17125.729409138738
1984-07,16520.519116099615
1984-08,18175.31328720385
1984-09,18103.249258633332
1984-10,18293.23044545773
1984-11,18221.166416887216
1984-12,18597.17483498613
1985-01,19619.017250725425
1985-02,19652.49832594624
1985-03,20329.64510060266
1985-04,20268.74143043908
1985-05,21305.18797232231
1985-06,21679.98469436561
1985-07,22121.87111380377
1985-08,22297.69458882051
1985-09,22458.595070310257
1985-10,23661.490386148398
1985-11,24978.030037307482
1985-12,26141.0669302637
1986-01,26521.348171295558
1986-02,28904.307898345076
1986-03,31721.9476419757
1986-04,32586.333343962244
1986-05,32484.168234431298
1986-06,33779.152450495836
1986-07,34041.96294761009
1986-08,37007.684703931634
1986-09,35527.82117917159
1986-10,34908.325627371574
1986-11,36375.8808711457
1986-12,37091.48305219859
1987-01,41438.72963234591
1987-02,42794.93638595709
1987-03,45434.648129842804
1987-04,48088.32626510634
1987-05,48144.44692452409
1987-06,48105.60887726795
1987-07,49055.70613181978
1987-08,51944.1344344887
1987-09,51028.28353687701
1987-10,42352.3484582762
1987-11,41309.84343611492
1987-12,43086.89136188259
1988-01,44125.697522400435
1988-02,46673.894327349255
1988-03,48070.53346513185
1988-04,48664.00943847454
1988-05,47678.58167788017
1988-06,47599.693887312256
1988-07,48481.93616274991
1988-08,45805.49089633621
1988-09,47735.72271292369
1988-10,50899.65243455246
1988-11,52658.142278626314
1988-12,53120.49998405663
1989-01,55028.8574981665
1989-02,54668.91999617358
1989-03,54304.19948343484
1989-04,55542.99926660502
1989-05,54166.9589617678
1989-06,53541.34115621313
1989-07,59576.79920920889
1989-08,58120.404323841714
1989-09,59746.56420394758
1989-10,57739.03893370747
1989-11,60028.825611428205
1989-12,61942.986511909694
1990-01,59034.78843149134
1990-02,56487.42068173846
1990-03,53059.915181276105
1990-04,52278.56254583719
1990-05,57767.03548993973
1990-06,57338.47772711329
1990-07,57843.69120882625
1990-08,52411.84911195435
1990-09,46867.446828863875
1990-10,51224.578297885906
1990-11,50365.23070055164
1990-12,51401.677242434875
1991-01,53263.288798188834
1991-02,58175.69592806351
1991-03,56443.289435923594
1991-04,56867.064188004195
1991-05,58138.133350339594
1991-06,54531.48815407672
1991-07,57089.314753993815
1991-08,56890.27773349064
1991-09,58364.52919230892
1991-10,59293.19855871943
1991-11,56691.4320334173
1991-12,60800.102037562574
1992-01,59656.57982844934
1992-02,58609.355569018844
1992-03,55830.49009916776
1992-04,56590.542393418575
1992-05,58823.50690347884
1992-06,56834.73103536239
1992-07,56961.25761295877
1992-08,58327.668122827716
1992-09,57774.24189279678
1992-10,56190.81024202034
1992-11,57178.406300819486
1992-12,57622.52479193903
1993-01,57797.965626096106
1993-02,59149.83578329773
1993-03,62561.78055546699
1993-04,65444.02283090462
1993-05,66934.9191671184
1993-06,66356.17486687287
1993-07,67706.00427282293
1993-08,70792.83186122891
1993-09,69467.93788463378
1993-10,71365.51768119639
1993-11,67311.75664041325
1993-12,70589.01182997992
1994-01,75228.27715952935
1994-02,74238.13016166574
1994-03,71020.94958706673
1994-04,73199.77041548419
1994-05,73371.51238799783
1994-06,73150.98370587673
1994-07,74524.91948598578
