Date,MSCI World Information Technology
2010-09,10000
2010-10,10556.802140301546
2010-11,10426.371176074934
2010-12,11027.590222414772
2011-01,11462.570241398667
2011-02,11720.809502545153
2011-03,11346.300220959623
2011-04,11705.758919789048
2011-05,11456.378099952319
2011-06,11135.781764671981
2011-07,11154.762199923409
2011-08,10577.897742516378
2011-09,10169.46374455073
2011-10,11260.575830269101
2011-11,10931.060790033229
2011-12,10760.811264391157
2012-01,11627.820644825666
2012-02,12435.306386450278
2012-03,12992.141978241698
2012-04,12634.041711668042
2012-05,11600.210690349804
2012-06,11815.097039292355
2012-07,11938.44026607149
2012-08,12496.467909587242
2012-09,12717.718674768666
2012-10,11977.298523237196
2012-11,12148.534369201589
2012-12,12241.50312309617
2013-01,12477.125436819662
2013-02,12586.197197452824
2013-03,12787.017673716673
2013-04,12903.983020940917
2013-05,13456.89454461541
2013-06,13048.85459656
2013-07,13548.6846798905
2013-08,13540.657028355648
2013-09,14044.795245816546
2013-10,14634.797554084413
2013-11,15096.353706311324
2013-12,15758.604418440607
2014-01,15355.304413171796
2014-02,16052.731135319764
2014-03,16034.292682604355
2014-04,15912.965315381089
2014-05,16441.57737397624
2014-06,16853.699451944536
2014-07,17110.863234962788
2014-08,17705.102438102902
2014-09,17448.007234253135
2014-10,17685.61234288832
2014-11,18587.051334225016
2014-12,18335.527991865438
2015-01,17727.83687732422
2015-02,19114.167094911085
2015-03,18646.00310821111
2015-04,18977.143719555195
2015-05,19360.33419935647
2015-06,18618.178589458428
2015-07,18822.23759796812
2015-08,17885.80895705821
2015-09,17652.5199616822
2015-10,19355.980163664008
2015-11,19625.584701734882
2015-12,19186.819003180663
2016-01,18202.109814590684
2016-02,17818.611176953855
2016-03,19310.282953364043
2016-04,18430.385220418037
2016-05,19413.67997116029
2016-06,18827.485910861837
2016-07,20253.196856736053
2016-08,20750.253269208162
2016-09,21146.883785482325
2016-10,21129.37763187888
2016-11,21094.845936564067
2016-12,21323.721465339837
2017-01,22205.537464790374
2017-02,23292.789498962655
2017-03,23941.491198839987
2017-04,24620.892827651052
2017-05,25657.66140917691
2017-06,25129.2640042275
2017-07,26012.68794974597
2017-08,26796.337482386367
2017-09,27191.473618049113
2017-10,29140.357198578382
2017-11,29326.14486759728
2017-12,29457.327244887332
2018-01,31706.527029937064
2018-02,31685.665048760206
2018-03,30556.123404077684
2018-04,30507.366970084597
2018-05,32508.40817815706
2018-06,32228.580140146
2018-07,33005.36623836426
2018-08,35091.92524029197
2018-09,34788.10037283319
2018-10,31836.366031540318
2018-11,31347.748593370838
2018-12,28775.05368066164
2019-01,30981.034306742265
2019-02,33022.4861938542
2019-03,34371.81032678124
2019-04,36586.22827534517
2019-05,33492.573377200366
2019-06,36343.670820476495
2019-07,37470.906407783266
2019-08,36683.4679366418
2019-09,37147.222224900695
2019-10,38623.73992836361
2019-11,40535.78665529335
2019-12,42423.53148392535
2020-01,43693.54887720352
2020-02,40544.362026438095
2020-03,36754.22593304753
2020-04,41510.60091829127
2020-05,45068.36077678488
2020-06,48133.35890015921
2020-07,51203.404208433254
2020-08,56438.62904897587
2020-09,53900.95137350811
2020-10,51425.930599225554
2020-11,57731.14675308632
2020-12,61122.58899628653
2021-01,60541.618720797625
2021-02,61247.53830061127
2021-03,61635.31212156013
2021-04,65399.30713107585
2021-05,64345.752540092195
2021-06,69049.385211742
2021-07,71557.5846274249
2021-08,74303.68816227604
2021-09,69820.62648083763
2021-10,75625.3104010819
2021-11,77866.78521826743
2021-12,78815.91044895376
2022-01,72076.86496653188
2022-02,68830.54024798228
2022-03,70935.8796437717
2022-04,62611.99126672709
2022-05,61709.498775578715
2022-06,55251.12476912991
2022-07,62912.68811858571
2022-08,58841.878955367
2022-09,54597.52766015084
