Date,MSCI World Small Cap
2000-12,10000
2001-01,10372.1
2001-02,10072
2001-03,9521.4
2001-04,10276.2
2001-05,10393.4
2001-06,10370.8
2001-07,10027.9
2001-08,10008
2001-09,8698.6
2001-10,9281.6
2001-11,9867.7
2001-12,10123.1
2002-01,9916
2002-02,9832.1
2002-03,10602.1
2002-04,10773.4
2002-05,10746.4
2002-06,10190.3
2002-07,9083.7
2002-08,9042
2002-09,8360.5
2002-10,8462.2
2002-11,8940.7
2002-12,8534.6
2003-01,8383.8
2003-02,8238.7
2003-03,8259.599999999999
2003-04,9114.6
2003-05,10068.000000000002
2003-06,10397.3
2003-07,10815.4
2003-08,11494
2003-09,11710.5
2003-10,12744.4
2003-11,12973.8
2003-12,13520.2
2004-01,14102
2004-02,14394
2004-03,14803.4
2004-04,14133.4
2004-05,14199.700000000003
2004-06,14833.000000000002
2004-07,14070.8
2004-08,14054.4
2004-09,14571.9
2004-10,14998.9
2004-11,16197.1
2004-12,16865.1
2005-01,16652.1
2005-02,17192.8
2005-03,16803.4
2005-04,16145.6
2005-05,16651.4
2005-06,17146.4
2005-07,18036.2
2005-08,18221.2
2005-09,18687.5
2005-10,18065.1
2005-11,18802.5
2005-12,19576.999999999996
2006-01,21059.5
2006-02,20893.199999999997
2006-03,21874.3
2006-04,22451.100000000006
2006-05,21200.1
2006-06,20875
2006-07,20293.899999999994
2006-08,20864.500000000004
2006-09,20939.899999999998
2006-10,21860.8
2006-11,22624.399999999994
2006-12,23014.1
2007-01,23433.9
2007-02,23619
2007-03,24216.6
2007-04,25013.7
2007-05,25663
2007-06,25472.4
2007-07,24628
2007-08,23931.6
2007-09,24435.4
2007-10,25633
2007-11,23697.1
2007-12,23273
2008-01,21430.3
2008-02,21608.2
2008-03,21401.3
2008-04,22276.099999999995
2008-05,23091.5
2008-06,21236.9
2008-07,20860.3
2008-08,20851.9
2008-09,18088.1
2008-10,13997.2
2008-11,12811.7
2008-12,13591.3
2009-01,12554.8
2009-02,11249.3
2009-03,12183.199999999997
2009-04,14204.1
2009-05,15449.4
2009-06,15630.4
2009-07,17007.3
2009-08,18049.100000000002
2009-09,19118
2009-10,18367.5
2009-11,18806.3
2009-12,19673.500000000004
2010-01,19202.4
2010-02,19652
2010-03,21177.8
2010-04,22000.8
2010-05,19895.7
2010-06,18976.2
2010-07,20453.2
2010-08,19516.999999999996
2010-09,21771.1
2010-10,22635.3
2010-11,22755.7
2010-12,24900.6
2011-01,25128
2011-02,26149.900000000005
2011-03,26470.4
2011-04,27480.900000000005
2011-05,26931.1
2011-06,26356.5
2011-07,25747.3
2011-08,23629
2011-09,20986.199999999997
2011-10,23471.4
2011-11,22914.2
2011-12,22733
2012-01,24453.1
2012-02,25570.6
2012-03,25829.5
2012-04,25653.9
2012-05,23378.800000000003
2012-06,24235.4
2012-07,24205.3
2012-08,25008.1
2012-09,25895.1
2012-10,25749.8
2012-11,26014.6
2012-12,26857.2
2013-01,28426.6
2013-02,28665.8
2013-03,29667.7
2013-04,30043
2013-05,30366.5
2013-06,29727
2013-07,31645.7
2013-08,31045.4
2013-09,33203.7
2013-10,34230.7
2013-11,34861.7
2013-12,35699.5
2014-01,35042.5
2014-02,36895.4
2014-03,36749.1
2014-04,36145.7
2014-05,36569.7
2014-06,38018.6
2014-07,36491.6
2014-08,37625.09999999999
2014-09,35530.3
2014-10,36139.1
2014-11,36309.50000000001
2014-12,36528.7
2015-01,35873.8
2015-02,38095.6
2015-03,38192.200000000004
2015-04,38560.5
2015-05,39136.70000000001
2015-06,38798
2015-07,38635.2
2015-08,36597.7
2015-09,35054.2
2015-10,37072.1
2015-11,37499.6
2015-12,36572.3
2016-01,33739.9
2016-02,33982.7
2016-03,36866.2
2016-04,37746.200000000004
2016-05,38220.6
2016-06,37515.3
2016-07,39590.299999999996
2016-08,39660.700000000004
2016-09,40273.7
2016-10,38797.6
2016-11,40435.5
2016-12,41418.7
2017-01,42379.6
2017-02,43291.4
2017-03,43639.1
2017-04,44531.2
2017-05,44840.1
2017-06,45560.8
2017-07,46602.6
2017-08,46587.1
2017-09,48446.9
2017-10,49156.8
2017-11,50246.1
2017-12,51022.50000000001
2018-01,52835.6
2018-02,50733.7
2018-03,50791.7
2018-04,51278.5
2018-05,52674.9
2018-06,52526
2018-07,53173.7
2018-08,54357.1
2018-09,53603.9
2018-10,48300.8
2018-11,48624.2
2018-12,44144.8
2019-01,48699.2
2019-02,50539.6
2019-03,50256.1
2019-04,51844.1
2019-05,48482.9
2019-06,51328.5
2019-07,51632.899999999994
2019-08,49887.5
2019-09,50941.2
2019-10,52359.7
2019-11,54071.8
2019-12,55968.3
2020-01,54423.5
2020-02,49434.1
2020-03,39193.6
2020-04,44473.9
2020-05,47638.9
2020-06,48885.8
2020-07,50807.00000000001
2020-08,53721.90000000001
2020-09,52582.4
2020-10,52581.9
2020-11,60690.5
2020-12,65186
2021-01,66543.6
2021-02,69880.99999999999
2021-03,71394.00000000001
2021-04,74185.5
2021-05,74846
2021-06,75026.70000000001
2021-07,74528
2021-08,76362
2021-09,74018.49999999999
2021-10,76703.2
2021-11,73003.3
2021-12,75734.1
2022-01,70020.8
2022-02,70188.8
2022-03,70883.5
2022-04,65377.1
2022-05,65283.399999999994
2022-06,58796.90000000001
2022-07,64167.7
2022-08,62099.4
2022-09,55757.2
2022-10,60252.6
2022-11,63988.3
2022-12,61820.6
2023-01,67561.6
2023-02,66205.1
2023-03,64551.19999999999
2023-04,64512.59999999999
2023-05,62763.00000000001
2023-06,66735.29999999999
2023-07,70024.6
2023-08,67380.4
2023-09,63879.7
2023-10,59970.8
2023-11,65581.1
2023-12,71921.3
