Date,Nordic Countries
1969-12,100.0
1970-01,97.24
1970-02,91.923
1970-03,93.929
1970-04,85.722
1970-05,80.246
1970-06,84.759
1970-07,90.522
1970-08,87.677
1970-09,85.866
1970-10,79.867
1970-11,84.413
1970-12,84.292
1971-01,89.545
1971-02,92.056
1971-03,92.074
1971-04,90.414
1971-05,94.219
1971-06,96.873
1971-07,97.138
1971-08,98.794
1971-09,95.885
1971-10,97.071
1971-11,101.079
1971-12,105.226
1972-01,108.533
1972-02,107.79
1972-03,114.093
1972-04,116.029
1972-05,113.46
1972-06,117.391
1972-07,119.885
1972-08,124.358
1972-09,122.268
1972-10,123.906
1972-11,127.842
1972-12,127.499
1973-01,136.619
1973-02,145.382
1973-03,144.447
1973-04,152.657
1973-05,164.416
1973-06,174.81
1973-07,177.572
1973-08,163.403
1973-09,162.46
1973-10,166.06
1973-11,145.916
1973-12,147.258
1974-01,149.901
1974-02,155.332
1974-03,160.06
1974-04,164.403
1974-05,149.604
1974-06,144.689
1974-07,147.923
1974-08,131.491
1974-09,125.053
1974-10,136.129
1974-11,130.884
1974-12,134.167
1975-01,147.721
1975-02,159.362
1975-03,154.225
1975-04,161.406
1975-05,158.297
1975-06,161.351
1975-07,153.979
1975-08,148.422
1975-09,143.881
1975-10,151.455
1975-11,146.19
1975-12,147.772
1976-01,158.05
1976-02,155.583
1976-03,155.29
1976-04,166.021
1976-05,159.87
1976-06,160.713
1976-07,161.749
1976-08,154.405
1976-09,152.735
1976-10,142.134
1976-11,144.732
1976-12,151.567
1977-01,140.331
1977-02,150.983
1977-03,152.583
1977-04,145.124
1977-05,141.136
1977-06,131.285
1977-07,129.018
1977-08,114.637
1977-09,120.322
1977-10,116.648
1977-11,109.684
1977-12,119.434
1978-01,125.508
1978-02,124.134
1978-03,128.912
1978-04,131.578
1978-05,128.813
1978-06,129.749
1978-07,139.605
1978-08,144.446
1978-09,139.9
1978-10,141.651
1978-11,131.125
1978-12,133.917
1979-01,142.168
1979-02,139.312
1979-03,139.655
1979-04,136.55
1979-05,137.135
1979-06,142.371
1979-07,145.94
1979-08,144.261
1979-09,149.823
1979-10,147.619
1979-11,156.307
1979-12,156.264
1980-01,160.254
1980-02,154.221
1980-03,133.95
1980-04,146.53
1980-05,151.262
1980-06,152.595
1980-07,152.336
1980-08,147.121
1980-09,152.879
