Date,S&P 500
1992-02,10000
1992-03,9805.512268478222
1992-04,10093.416192839213
1992-05,10142.892797892575
1992-06,9991.988103802296
1992-07,10400.196312430395
1992-08,10187.33575088456
1992-09,10307.052775744509
1992-10,10342.66586407881
1992-11,10694.832746423486
1992-12,10826.085223924109
1993-01,10916.607066828023
1993-02,11065.372458792217
1993-03,11298.850020239479
1993-04,11025.753422359063
1993-05,11320.704459605991
1993-06,11353.842669010111
1993-07,11308.183250103295
1993-08,11737.239167685631
1993-09,11647.241663538112
1993-10,11888.16483532617
1993-11,11774.844743294232
1993-12,11917.213202430416
1994-01,12322.35927272117
1994-02,11987.915040342625
1994-03,11465.27514151903
1994-04,11612.299728811995
1994-05,11802.865406435943
1994-06,11513.556254207819
1994-07,11891.625471118372
1994-08,12379.176620364056
1994-09,12076.465369522495
1994-10,12347.779215631168
1994-11,11898.08532459715
1994-12,12074.577749999477
1995-01,12387.71285531816
1995-02,12870.482035105528
1995-03,13250.250109586801
1995-04,13640.421064994936
1995-05,14185.607530343485
1995-06,14515.102004861668
1995-07,14996.465956781902
1995-08,15034.155426591524
1995-09,15668.626295378897
1995-10,15612.626916195984
1995-11,16298.000591454118
1995-12,16611.93269168252
1996-01,17177.337659477635
1996-02,17336.589826569714
1996-03,17503.476365954895
1996-04,17761.534928301917
1996-05,18219.597265887987
1996-06,18289.103611435617
1996-07,17481.07661428173
1996-08,17849.83357487872
1996-09,18854.508579230733
1996-10,19374.526784272355
1996-11,20838.983957331406
1996-12,20426.077673446016
1997-01,21702.192365208237
1997-02,21872.287857782554
1997-03,20973.59220287296
1997-04,22225.692179592315
1997-05,23578.863694994245
1997-06,24635.238500726733
1997-07,26595.405534080972
1997-08,25105.48647101141
1997-09,26480.42853157883
1997-10,25596.057811493924
1997-11,26780.95853319379
1997-12,27240.887516752624
1998-01,27542.193539727046
1998-02,29528.68237865228
1998-03,31040.791457892454
1998-04,31353.087621200903
1998-05,30814.193220929086
1998-06,32065.831779542816
1998-07,31724.382381378844
1998-08,27137.76057014499
1998-09,28876.21620374546
1998-10,31225.065070439665
1998-11,33117.55045711853
1998-12,35025.954768441516
1999-01,36490.600703452874
1999-02,35356.51889402275
1999-03,36771.07999102332
1999-04,38195.058212088734
1999-05,37293.13263043975
1999-06,39362.80256967938
1999-07,38133.7105775906
1999-08,37945.05349303993
1999-09,36904.82832100438
1999-10,39240.19119488413
1999-11,40037.878231761926
1999-12,42395.95546056868
2000-01,40265.88169659243
2000-02,39503.66093319715
2000-03,43368.24730332578
2000-04,42063.482741914166
2000-05,41200.46309598965
2000-06,42216.19116132645
2000-07,41556.174508327545
2000-08,44137.41031185571
2000-09,41807.2488784394
2000-10,41630.504770434
2000-11,38348.374864458434
2000-12,38536.06716569734
2001-01,39903.29095977063
2001-02,36264.84140849974
2001-03,33967.44066058294
2001-04,36607.06682802318
2001-05,36852.33152471418
2001-06,35955.397648026075
2001-07,35601.448013909656
2001-08,33372.73564308051
2001-09,30677.8022236158
2001-10,31262.796487349806
2001-11,33660.84930294406
2001-12,33955.737419540215
2002-01,33460.21632119734
2002-02,32814.92310047799
2002-03,34049.069718178405
2002-04,31984.748034254
2002-05,31749.110197130398
2002-06,29487.637140801737
2002-07,27188.936032769074
2002-08,27367.441918995955
2002-09,24393.16178367461
2002-10,26540.161202707266
2002-11,28102.292199307452
2002-12,26451.33821737407
2003-01,25758.41406402386
2003-02,25371.93445346074
2003-03,25618.268801214785
2003-04,27728.459639548564
2003-05,29189.39325616465
2003-06,29561.757667405633
2003-07,30082.971364811838
2003-08,30669.66448611656
2003-09,30343.966224194668
2003-10,32060.52547132811
2003-11,32342.598748717992
2003-12,34038.79267855308
2004-01,34663.57376712229
2004-02,35145.37816359789
2004-03,34615.16681313196
2004-04,34071.76309955515
2004-05,34539.326455407085
2004-06,35210.94148169743
2004-07,34045.56713528569
2004-08,34183.27946626509
2004-09,34553.50457537999
2004-10,35081.38786176752
2004-11,36500.835795977684
2004-12,37742.91041567479
2005-01,36822.926607255584
2005-02,37597.83636855562
2005-03,36932.051989236366
2005-04,36231.6193048946
2005-05,37384.451468253385
2005-06,37437.51455040049
2005-07,38829.75978992892
2005-08,38475.47457900841
2005-09,38787.09958870868
2005-10,38140.48503432322
2005-11,39583.04582091524
2005-12,39596.825443433285
2006-01,40645.25127361884
2006-02,40755.551174413944
2006-03,41262.85940800057
2006-04,41816.91768510731
2006-05,40613.37147723007
2006-06,40668.427046651464
2006-07,40919.291681260765
2006-08,41892.88388413372
2006-09,42972.47640999935
2006-10,44372.775492826
2006-11,45216.56239316599
2006-12,45850.84450000105
2007-01,46544.2720185574
2007-02,45633.915069705596
2007-03,46144.327388730075
2007-04,48188.304728906376
2007-05,49869.83814711267
2007-06,49041.340964909155
2007-07,47520.82149201642
2007-08,48233.16715290347
2007-09,50037.01831620143
2007-10,50832.943574857745
